name,description,price,sale_price,quantity,category,sku,images,sizes,colors,is_featured,is_active,sale_active,sale_start_date,sale_end_date,slug,collection
Nomad Studio Mini Dress,"Nomad Studio Mini Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1399,0,120,shakti,SS-FINAL-018,"[""/final-products/go18/go18-01.webp"", ""/final-products/go18/go18-02.webp"", ""/final-products/go18/go18-03.webp"", ""/final-products/go18/go18-04.webp"", ""/final-products/go18/go18-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-18,Final Products
Ivory Handwoven Overlay,"Ivory Handwoven Overlay from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 11 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-019,"[""/final-products/go19/go19-01.webp"", ""/final-products/go19/go19-02.webp"", ""/final-products/go19/go19-03.webp"", ""/final-products/go19/go19-04.webp"", ""/final-products/go19/go19-05.webp"", ""/final-products/go19/go19-06.webp"", ""/final-products/go19/go19-07.webp"", ""/final-products/go19/go19-08.webp"", ""/final-products/go19/go19-09.webp"", ""/final-products/go19/go19-10.webp"", ""/final-products/go19/go19-11.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-19,Final Products
Shadow Drape Resort Dress,"Shadow Drape Resort Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1999,0,120,shakti,SS-FINAL-020,"[""/final-products/go20/go20-01.webp"", ""/final-products/go20/go20-02.webp"", ""/final-products/go20/go20-03.webp"", ""/final-products/go20/go20-04.webp"", ""/final-products/go20/go20-05.webp"", ""/final-products/go20/go20-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-20,Final Products
Black Cutout Festival Set,"Black Cutout Festival Set from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1699,0,120,shakti,SS-FINAL-021,"[""/final-products/go21/go21-01.webp"", ""/final-products/go21/go21-02.webp"", ""/final-products/go21/go21-03.webp"", ""/final-products/go21/go21-04.webp"", ""/final-products/go21/go21-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-21,Final Products
Artisan Layered Kaftan,"Artisan Layered Kaftan from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 11 product views for front, side, back, and detail review before enquiry confirmation.",2099,0,120,shakti,SS-FINAL-022,"[""/final-products/go22/go22-01.webp"", ""/final-products/go22/go22-02.webp"", ""/final-products/go22/go22-03.webp"", ""/final-products/go22/go22-04.webp"", ""/final-products/go22/go22-05.webp"", ""/final-products/go22/go22-06.webp"", ""/final-products/go22/go22-07.webp"", ""/final-products/go22/go22-08.webp"", ""/final-products/go22/go22-09.webp"", ""/final-products/go22/go22-10.webp"", ""/final-products/go22/go22-11.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-22,Final Products
Ivory Raw-Edge Vest,"Ivory Raw-Edge Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1299,0,120,shakti,SS-FINAL-023,"[""/final-products/go23/go23-01.webp"", ""/final-products/go23/go23-02.webp"", ""/final-products/go23/go23-03.webp"", ""/final-products/go23/go23-04.webp"", ""/final-products/go23/go23-05.webp"", ""/final-products/go23/go23-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-23,Final Products
Obsidian Backless Dress,"Obsidian Backless Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",2299,0,120,shakti,SS-FINAL-024,"[""/final-products/go24/go24-01.webp"", ""/final-products/go24/go24-02.webp"", ""/final-products/go24/go24-03.webp"", ""/final-products/go24/go24-04.webp"", ""/final-products/go24/go24-05.webp"", ""/final-products/go24/go24-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-24,Final Products
Temple Texture Statement Piece,"Temple Texture Statement Piece from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 10 product views for front, side, back, and detail review before enquiry confirmation.",1899,0,120,shakti,SS-FINAL-025,"[""/final-products/go25/go25-01.webp"", ""/final-products/go25/go25-02.webp"", ""/final-products/go25/go25-03.webp"", ""/final-products/go25/go25-04.webp"", ""/final-products/go25/go25-05.webp"", ""/final-products/go25/go25-06.webp"", ""/final-products/go25/go25-07.webp"", ""/final-products/go25/go25-08.webp"", ""/final-products/go25/go25-09.webp"", ""/final-products/go25/go25-10.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-25,Final Products
Nomad Cotton Mesh Layer,"Nomad Cotton Mesh Layer from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1199,0,120,shakti,SS-FINAL-026,"[""/final-products/go26/go26-01.webp"", ""/final-products/go26/go26-02.webp"", ""/final-products/go26/go26-03.webp"", ""/final-products/go26/go26-04.webp"", ""/final-products/go26/go26-05.webp"", ""/final-products/go26/go26-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-26,Final Products
Ritual Openwork Dress,"Ritual Openwork Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1999,0,120,shakti,SS-FINAL-027,"[""/final-products/go27/go27-01.webp"", ""/final-products/go27/go27-02.webp"", ""/final-products/go27/go27-03.webp"", ""/final-products/go27/go27-04.webp"", ""/final-products/go27/go27-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-27,Final Products
Black Studio Longline Vest,"Black Studio Longline Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 3 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-028,"[""/final-products/go28/go28-01.webp"", ""/final-products/go28/go28-02.webp"", ""/final-products/go28/go28-03.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-28,Final Products
Ivory Resort Layered Top,"Ivory Resort Layered Top from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1299,0,120,shakti,SS-FINAL-029,"[""/final-products/go29/go29-01.webp"", ""/final-products/go29/go29-02.webp"", ""/final-products/go29/go29-03.webp"", ""/final-products/go29/go29-04.webp"", ""/final-products/go29/go29-05.webp"", ""/final-products/go29/go29-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-29,Final Products
Shadow Fringe Mini Dress,"Shadow Fringe Mini Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1399,0,120,shakti,SS-FINAL-030,"[""/final-products/go30/go30-01.webp"", ""/final-products/go30/go30-02.webp"", ""/final-products/go30/go30-03.webp"", ""/final-products/go30/go30-04.webp"", ""/final-products/go30/go30-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-30,Final Products
Shakti Slit Panel Dress,"Shakti Slit Panel Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",2199,0,120,shakti,SS-FINAL-031,"[""/final-products/go31/go31-01.webp"", ""/final-products/go31/go31-02.webp"", ""/final-products/go31/go31-03.webp"", ""/final-products/go31/go31-04.webp"", ""/final-products/go31/go31-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-31,Final Products
Artisan Festival Overlay,"Artisan Festival Overlay from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1599,0,120,shakti,SS-FINAL-032,"[""/final-products/go32/go32-01.webp"", ""/final-products/go32/go32-02.webp"", ""/final-products/go32/go32-03.webp"", ""/final-products/go32/go32-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-32,Final Products
Void Black Drape Tunic,"Void Black Drape Tunic from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 8 product views for front, side, back, and detail review before enquiry confirmation.",1699,0,120,shakti,SS-FINAL-033,"[""/final-products/go33/go33-01.webp"", ""/final-products/go33/go33-02.webp"", ""/final-products/go33/go33-03.webp"", ""/final-products/go33/go33-04.webp"", ""/final-products/go33/go33-05.webp"", ""/final-products/go33/go33-06.webp"", ""/final-products/go33/go33-07.webp"", ""/final-products/go33/go33-08.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-33,Final Products
Temple Weave Sleeveless Vest,"Temple Weave Sleeveless Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-034,"[""/final-products/go34/go34-01.webp"", ""/final-products/go34/go34-02.webp"", ""/final-products/go34/go34-03.webp"", ""/final-products/go34/go34-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-34,Final Products
Nomad Raw Hem Dress,"Nomad Raw Hem Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1799,0,120,shakti,SS-FINAL-035,"[""/final-products/go35/go35-01.webp"", ""/final-products/go35/go35-02.webp"", ""/final-products/go35/go35-03.webp"", ""/final-products/go35/go35-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-35,Final Products
Ivory Spirit Layer Set,"Ivory Spirit Layer Set from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 3 product views for front, side, back, and detail review before enquiry confirmation.",1399,0,120,shakti,SS-FINAL-036,"[""/final-products/go36/go36-01.webp"", ""/final-products/go36/go36-02.webp"", ""/final-products/go36/go36-03.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-36,Final Products
Obsidian Ceremony Dress,"Obsidian Ceremony Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",2299,0,120,shakti,SS-FINAL-037,"[""/final-products/go37/go37-01.webp"", ""/final-products/go37/go37-02.webp"", ""/final-products/go37/go37-03.webp"", ""/final-products/go37/go37-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-37,Final Products
